epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
108,0.71383333,0.7809948,1125.0,592.0,0.548001872425278,0.001,2408.0,1875.0,0.66677964,0.73518825,597.0,386.0,0.5896116675966877,1089.0,878.0
109,0.715,0.7800759,1134.0,576.0,0.5479731345673402,0.001,2424.0,1866.0,0.66915256,0.74357486,794.0,182.0,0.6006349031197823,1293.0,681.0
110,0.6993333,0.7649026,1231.0,573.0,0.561039161135753,0.001,2427.0,1769.0,0.68711865,0.75063777,698.0,225.0,0.5754330471915714,1250.0,777.0
111,0.707,0.7737789,1177.0,581.0,0.5513077646493911,0.001,2419.0,1823.0,0.66474575,0.736928,821.0,168.0,0.5903257438691996,1307.0,654.0
112,0.71433336,0.78012073,1115.0,599.0,0.5473891013860702,0.001,2401.0,1885.0,0.68,0.7373109,649.0,295.0,0.576690290337902,1180.0,826.0
113,0.703,0.7698902,1209.0,573.0,0.5553066576768955,0.001,2427.0,1791.0,0.66101694,0.71923923,789.0,211.0,0.5986720599360386,1264.0,686.0
114,0.7021667,0.7724365,1175.0,612.0,0.555567257553339,0.001,2388.0,1825.0,0.6738983,0.7425629,838.0,124.0,0.5967770628504834,1351.0,637.0
115,0.708,0.77604324,1133.0,619.0,0.5528534320990245,0.001,2381.0,1867.0,0.7040678,0.7677892,636.0,237.0,0.5598865463572034,1238.0,839.0
116,0.7111667,0.7802862,1146.0,587.0,0.5469406026353438,0.001,2413.0,1854.0,0.65694916,0.7281663,854.0,158.0,0.6046487548593747,1317.0,621.0
117,0.7058333,0.77155066,1173.0,592.0,0.5553252033392588,0.001,2408.0,1827.0,0.6938983,0.753002,680.0,223.0,0.5666553016436302,1252.0,795.0
118,0.7183333,0.79318637,1051.0,639.0,0.5394695313026507,0.001,2361.0,1949.0,0.67898303,0.7480887,576.0,371.0,0.5805969095836252,1104.0,899.0
119,0.71933335,0.78706306,1106.0,578.0,0.5399918498843909,0.001,2422.0,1894.0,0.69932204,0.76997787,719.0,168.0,0.5582015632572821,1307.0,756.0
120,0.705,0.78402907,1121.0,649.0,0.5445750446120898,0.001,2351.0,1879.0,0.68881357,0.75311106,591.0,327.0,0.5715276632773674,1148.0,884.0
